sub_cause_code_CREATE_SESSION_RESPONSE_WITH_CC_FROM_SGW,0.0
sub_cause_code_CONTEXT_REQUEST_RECEIVED,0.0
sub_cause_code_COLLIDING_TEMPORARY_LOGICAL_LINK_IDENTITIES_TLLIS,0.0
sub_cause_code_CAUSE_129_FROM_PGW_NEW_PDP_TYPE_DUE_TO_NETWORK_PREFERENCE,0.0
sub_cause_code_CANCEL_LOCATION_RECEIVED,0.0
sub_cause_code_BSSGP_STATUS_RECEIVED,0.0
sub_cause_code_AUTH_FAILED_T3460_TIMEOUT,0.0
sub_cause_code_AUTH_FAILED_NO_ANSWER_TO_AUTHENTICATION_AND_CIPHERING_REQUEST,0.0
sub_cause_code_AUTH_FAILED_MAP_ERROR,0.0
sub_cause_code_NO_ESM_INFORMATION_RESPONSE_FROM_UE,0.0
sub_cause_code_SECURITY_MODE_REJECT_FROM_UE,0.0
sub_cause_code_ALL_PACKET_ORIENTED_SERVICES_BARRED,0.0
sub_cause_code_ABORT_DUE_TO_TAU_REQUEST,0.0
sub_cause_code_ABORT_DUE_TO_INITIAL_UE_MESSAGE,0.0
sub_cause_code_ABORT_DUE_TO_ATTACH_REQUEST,0.0
sub_cause_code_ABORTED_BY_NEW_REQUEST,0.0
cause_code_X2_HANDOVER_TRIGGERED,0.0
cause_code_UNSPECIFIED_FAILURE_MISCELLANEOUS_CAUSE,0.0
sub_cause_code_SGSN_CONTEXT_RESPONSE__IMSI_NOT_KNOWN,0.0
sub_cause_code_APN_RESOLVING_FAILED__NO_MATCH,0.0
cause_code_UE_IDENTITY_CANNOT_BE_DERIVED_BY_THE_NETWORK,0.0
sub_cause_code_CSFB_FAILURE_DUE_TO_ENODEB,0.0
sub_cause_code_ERROR_INDICATION_FROM_GGSN_OR_SGW_RECEIVED,0.0
sub_cause_code_MODIFY_BEARER_REQUEST_OR_CREATE_SESSION_REQUEST_TOWARDS_SGW_UNSUCCESSFUL,0.0
sub_cause_code_MODIFY_BEARER_REQUEST_FAILURE_OR_TIMEOUT_IN_SERVICE_REQUEST_PROCEDURE,0.0
sub_cause_code_MME_LOOKUP_FAILED__TAI_NOT_FOUND_IN_DNS,0.0
sub_cause_code_NAS_NON_DELIVERY_INDICATION_RECEIVED_DURING_SECURITY_MODE_CONTROL_PROCEDURE,0.0
sub_cause_code_INTERFERING_S1_RESET,0.0
sub_cause_code_INTERFERENCE_OF_ACTIVATION_MOBILITY_PROCEDURE,0.0
sub_cause_code_INTERFERENCE_OF_ACTIVATION_DETACH,0.0
